Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Number of Readmissions,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Number of Completed Surveys,Survey Response Rate Percent
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,5.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-PN-HRRP,304.0,0.9932,52,H_STAR_RATING,Summary star rating,Summary star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,5.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-HF-HRRP,808.0,0.9704,168,H_STAR_RATING,Summary star rating,Summary star rating,3.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-COPD-HRRP,76.0,1.0158,19,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,876.0,19.0
SENTARA NORFOLK GENERAL HOSPITAL,490007,VA,READM-30-COPD-HRRP,76.0,1.0158,19,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,876.0,19.0
